date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:26	52966/52966	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Nov%202022%2013:13:26%20GMT	https://library.fdu.edu/hospitality/websites	C:/My%20Web%20Sites/vim3/library.fdu.edu/hospitality/websites.html	(from )
18:43:27	229/229	---MCZ	200	added ('OK')	text/plain	date:Mon,%2007%20Nov%202022%2013:13:27%20GMT	https://library.fdu.edu/robots.txt		(from )
18:43:28	4513/4513	---M--	200	added ('OK')	image/png	etag:%22dede69717e52c2a82da9cf377135a6e2%22	http://libapps.s3.amazonaws.com/apps/common/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/vim3/libapps.s3.amazonaws.com/apps/common/favicon/apple-touch-icon.png	(from https://library.fdu.edu/hospitality/websites)
18:43:29	1124/1124	---M--	200	added ('OK')	image/png	etag:%2224c2dd6ed207ebf50cd508f75a2bb84d%22	http://libapps.s3.amazonaws.com/apps/common/favicon/favicon-32x32.png	C:/My%20Web%20Sites/vim3/libapps.s3.amazonaws.com/apps/common/favicon/favicon-32x32.png	(from https://library.fdu.edu/hospitality/websites)
18:43:30	658/658	---M--	200	added ('OK')	image/png	etag:%223f5414de2a85ee44f682c5411a31a017%22	http://libapps.s3.amazonaws.com/apps/common/favicon/favicon-16x16.png	C:/My%20Web%20Sites/vim3/libapps.s3.amazonaws.com/apps/common/favicon/favicon-16x16.png	(from https://library.fdu.edu/hospitality/websites)
18:43:30	24761/24761	---MCZ	200	added ('OK')	text/css	etag:W/%2261d87db9-60b9%22	https://library.fdu.edu/web/jquery/css/jquery-ui.min.css?2695	C:/My%20Web%20Sites/vim3/library.fdu.edu/web/jquery/css/jquery-ui.mindbbf.css	(from https://library.fdu.edu/hospitality/websites)
18:43:31	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2261d74503-7918%22	https://library.fdu.edu/web/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/vim3/library.fdu.edu/web/font-awesome/4.7.0/css/font-awesome.min.css	(from https://library.fdu.edu/hospitality/websites)
18:43:31	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%2261d87dba-6f0%22	https://library.fdu.edu/web/slick-1.8.1/slick/slick.css	C:/My%20Web%20Sites/vim3/library.fdu.edu/web/slick-1.8.1/slick/slick.css	(from https://library.fdu.edu/hospitality/websites)
18:43:31	3145/3145	---MCZ	200	added ('OK')	text/css	etag:W/%2261d74503-c49%22	https://library.fdu.edu/web/slick-1.8.1/slick/slick-theme.css	C:/My%20Web%20Sites/vim3/library.fdu.edu/web/slick-1.8.1/slick/slick-theme.css	(from https://library.fdu.edu/hospitality/websites)
18:43:32	154466/154466	---MCZ	200	added ('OK')	text/css	etag:W/%22629945f5-25b62%22	https://library.fdu.edu/web/css2.18.6/lg-public.min.css	C:/My%20Web%20Sites/vim3/library.fdu.edu/web/css2.18.6/lg-public.min.css	(from https://library.fdu.edu/hospitality/websites)
18:43:34	97137/97137	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d74503-17b71%22	https://library.fdu.edu/web/jquery/js/1.12.4_jquery.min.js	C:/My%20Web%20Sites/vim3/library.fdu.edu/web/jquery/js/1.12.4_jquery.min.js	(from https://library.fdu.edu/hospitality/websites)
18:43:39	253668/253668	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-3dee4%22	http://code.jquery.com/ui/1.12.1/jquery-ui.min.js	C:/My%20Web%20Sites/vim3/code.jquery.com/ui/1.12.1/jquery-ui.min.js	(from https://library.fdu.edu/hospitality/websites)
18:43:39	125444/125444	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262eb02c0-1ea04%22	https://library.fdu.edu/web/js2.18.6/lg-public.min.js	C:/My%20Web%20Sites/vim3/library.fdu.edu/web/js2.18.6/lg-public.min.js	(from https://library.fdu.edu/hospitality/websites)
18:43:39	253669/253669	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d87db9-3dee5%22	https://library.fdu.edu/web/jquery/js/jquery-ui.min.js?2695	C:/My%20Web%20Sites/vim3/library.fdu.edu/web/jquery/js/jquery-ui.mindbbf.js	(from https://library.fdu.edu/hospitality/websites)
18:43:41	7252/7252	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d74503-1c54%22	https://library.fdu.edu/web/js/sa.min.js?3116	C:/My%20Web%20Sites/vim3/library.fdu.edu/web/js/sa.min5819.js	(from https://library.fdu.edu/hospitality/websites)
18:43:42	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/vim3/www.google-analytics.com/analytics.js	(from https://library.fdu.edu/hospitality/websites)
18:43:43	267/267	---M--	200	added ('OK')	image/png	etag:%227998fcb6b010d3b684aa178824cf0d0b%22	https://libapps.s3.amazonaws.com/accounts/212716/images/home_icon_test.png	C:/My%20Web%20Sites/vim3/libapps.s3.amazonaws.com/accounts/212716/images/home_icon_test.png	(from https://library.fdu.edu/hospitality/websites)
18:43:43	203521/203521	---M--	200	added ('OK')	image/png	etag:%226f21ac2506399f0b01310e945b91cce6%22	https://libapps.s3.amazonaws.com/sites/2228/groups/26022/banner/LMlogo3.png	C:/My%20Web%20Sites/vim3/libapps.s3.amazonaws.com/sites/2228/groups/26022/banner/LMlogo3.png	(from https://library.fdu.edu/hospitality/websites)
18:43:44	106314/106314	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Nov%202022%2013:13:44%20GMT	https://library.fdu.edu/hospitality/databases	C:/My%20Web%20Sites/vim3/library.fdu.edu/hospitality/databases.html	(from https://library.fdu.edu/hospitality/websites)
18:43:45	7828/7828	---M--	200	added ('OK')	image/png	etag:%2200c9f7de3a98f6a7327861e0d81ad0e1%22	https://libapps.s3.amazonaws.com/accounts/66209/images/wordpress_transparent_white.png	C:/My%20Web%20Sites/vim3/libapps.s3.amazonaws.com/accounts/66209/images/wordpress_transparent_white.png	(from https://library.fdu.edu/hospitality/websites)
